"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:02","10:02","1.00","10:02","--","120","139","--","--","--","--","--","--","123","--","--","0.81","--","--","108","29.0","6:59","154","9:16","9:16"
"2","7:06.5","17:08","1.00","7:06","--","140","148","--","--","--","--","--","--","151","--","--","0.93","--","--","97","28.0","6:57","154","7:06","7:06"
"3","7:08.7","24:17","1.00","7:09","--","146","150","--","--","--","--","--","--","151","--","--","0.93","--","--","100","29.0","6:59","154","7:08.7","7:09"
"4","7:07.8","31:25","1.00","7:08","--","149","153","--","--","--","--","--","--","151","--","--","0.93","--","--","101","29.0","6:57","154","7:07.8","7:08"
"5","8:39.4","40:04","0.84","10:17","--","137","152","--","--","--","--","--","--","122","--","--","0.80","--","--","93","30.0","6:57","155","8:26","10:01"
"Summary","40:04","40:04","4.84","8:17","","137","153","","","","","","","138","","","0.87","","","499","29.0","6:57","155","39:05","8:04"
