"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","11:04","11:04","1.00","11:04","--","113","134","--","--","--","--","--","--","121","--","--","0.75","--","--","106","28.0","6:41","154","10:29","10:29"
"2","11:02","22:05","1.00","11:01","--","121","140","--","--","--","--","--","--","118","--","--","0.77","--","--","113","28.0","6:43","155","10:20","10:20"
"3","9:27.1","31:32","1.00","9:27","--","127","143","--","--","--","--","--","--","131","--","--","0.81","--","--","102","28.0","6:31","159","9:27","9:27"
"4","9:11.8","40:44","1.00","9:12","--","128","144","--","--","--","--","--","--","133","--","--","0.82","--","--","96","28.0","6:44","157","8:56","8:56"
"5","9:42.1","50:26","1.00","9:42","--","129","144","--","--","--","--","--","--","130","--","--","0.79","--","--","97","28.0","6:41","157","9:40","9:40"
"6","9:53.3","1:00:20","1.00","9:53","--","130","144","--","--","--","--","--","--","128","--","--","0.79","--","--","99","28.0","6:43","159","9:37","9:37"
"7","5:06.6","1:05:26","0.35","14:27","--","124","144","--","--","--","--","--","--","107","--","--","0.65","--","--","38","28.0","6:46","155","4:56","13:57"
"Summary","1:05:26","1:05:26","6.35","10:18","","124","144","","","","","","","125","","","0.78","","","651","28.0","6:31","159","1:03:25","9:59"
