"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:38","12:38","1.00","12:38","--","116","150","--","--","--","--","--","--","114","--","--","0.69","--","--","130","28.0","6:31","155","12:13","12:13"
"2","12:38","25:16","1.00","12:38","--","124","146","--","--","--","--","--","--","113","--","--","0.70","--","--","132","27.0","6:41","154","12:34","12:34"
"3","9:44.3","35:00","1.00","9:44","--","128","155","--","--","--","--","--","--","132","--","--","0.78","--","--","105","27.0","6:37","155","9:27","9:27"
"4","15:38","50:39","1.00","15:38","--","121","147","--","--","--","--","--","--","106","--","--","0.61","--","--","128","28.0","7:05","155","14:26","14:26"
"5","9:21.3","1:00:00","0.95","9:49","--","134","153","--","--","--","--","--","--","127","--","--","0.80","--","--","105","27.0","6:31","156","9:17","9:45"
"Summary","1:00:00","1:00:00","4.95","12:07","","124","155","","","","","","","117","","","0.70","","","600","27.5","6:31","156","57:57","11:42"
