"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:03","10:03","1.00","10:03","--","121","150","--","--","--","--","--","--","126","--","--","0.79","--","--","108","28.0","6:37","155","9:52","9:52"
"2","7:00.4","17:04","1.00","7:00","--","141","145","--","--","--","--","--","--","151","--","--","0.94","--","--","98","28.0","6:44","155","7:00","7:00"
"3","10:14","27:17","1.00","10:14","--","130","146","--","--","--","--","--","--","126","--","--","0.77","--","--","110","29.0","6:47","157","9:37","9:37"
"4","7:48.5","35:06","0.74","10:35","--","133","144","--","--","--","--","--","--","128","--","--","0.74","--","--","87","28.0","7:07","154","7:38","10:21"
"Summary","35:06","35:06","3.74","9:23","","130","150","","","","","","","132","","","0.80","","","403","28.3","6:37","157","34:07","9:08"
