"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:12","10:12","1.00","10:12","--","123","145","--","--","--","--","--","--","122","--","--","0.80","--","--","115","29.0","6:19","156","9:25","9:25"
"2","6:49.7","17:02","1.00","6:50","--","147","153","--","--","--","--","--","--","151","--","--","0.97","--","--","98","28.0","6:26","154","6:49","6:49"
"3","9:53.9","26:56","1.00","9:54","--","137","155","--","--","--","--","--","--","127","--","--","0.79","--","--","118","29.0","6:41","156","9:38","9:38"
"4","7:09.0","34:05","1.00","7:09","--","152","156","--","--","--","--","--","--","153","--","--","0.91","--","--","105","28.0","6:46","157","7:09.0","7:09"
"5","8:07.0","42:12","1.00","8:07","--","150","160","--","--","--","--","--","--","142","--","--","0.87","--","--","114","28.0","6:44","156","8:00","8:00"
"6","8:52.3","51:04","1.00","8:52","--","144","160","--","--","--","--","--","--","139","--","--","0.81","--","--","106","29.0","6:54","157","8:52.3","8:52"
"7","9:02.2","1:00:06","0.89","10:10","--","146","161","--","--","--","--","--","--","124","--","--","0.79","--","--","105","29.0","6:37","157","8:41","9:46"
"Summary","1:00:06","1:00:06","6.89","8:44","","142","161","","","","","","","135","","","0.84","","","761","28.6","6:19","157","58:34","8:30"
