"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:24","12:24","1.00","12:23","--","110","135","--","--","--","--","--","--","117","--","--","0.69","--","--","115","27.0","6:44","156","11:57","11:57"
"2","12:47","25:10","1.00","12:47","--","118","138","--","--","--","--","--","--","114","--","--","0.69","--","--","120","27.0","6:40","155","12:21","12:21"
"3","9:23.0","34:33","1.00","9:23","--","125","147","--","--","--","--","--","--","132","--","--","0.81","--","--","100","26.0","6:35","157","8:57","8:57"
"4","14:43","49:16","1.00","14:43","--","120","142","--","--","--","--","--","--","109","--","--","0.63","--","--","121","26.0","6:57","155","14:08","14:08"
"5","9:33.2","58:50","1.00","9:33","--","131","146","--","--","--","--","--","--","129","--","--","0.81","--","--","105","26.0","6:24","158","9:33.2","9:33"
"6","1:13.3","1:00:03","0.07","17:09","--","117","118","--","--","--","--","--","--","96","--","--","0.61","--","--","7","26.0","13:58","108","0:54","12:38"
"Summary","1:00:03","1:00:03","5.07","11:50","","120","147","","","","","","","118","","","0.71","","","568","26.4","6:24","158","57:50","11:24"
