"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:18","10:18","1.00","10:18","--","116","141","--","--","--","--","--","--","123","--","--","0.79","--","--","102","28.0","6:51","154","9:47","9:47"
"2","7:01.2","17:19","1.00","7:01","--","142","148","--","--","--","--","--","--","152","--","--","0.94","--","--","98","28.0","6:37","154","7:01.2","7:01"
"3","10:01","27:20","1.00","10:01","--","131","147","--","--","--","--","--","--","129","--","--","0.78","--","--","109","28.0","6:37","155","9:46","9:46"
"4","7:10.6","34:31","1.00","7:11","--","144","147","--","--","--","--","--","--","153","--","--","0.91","--","--","99","28.0","6:44","156","7:10.6","7:11"
"5","8:39.1","43:10","1.00","8:39","--","140","149","--","--","--","--","--","--","135","--","--","0.85","--","--","106","29.0","6:34","156","8:39","8:39"
"6","8:38.9","51:49","1.00","8:39","--","139","149","--","--","--","--","--","--","142","--","--","0.82","--","--","100","29.0","6:51","157","8:38.9","8:39"
"7","8:17.3","1:00:06","0.80","10:21","--","137","150","--","--","--","--","--","--","125","--","--","0.77","--","--","85","29.0","6:44","155","8:17","10:21"
"Summary","1:00:06","1:00:06","6.80","8:50","","135","150","","","","","","","136","","","0.83","","","699","28.4","6:34","157","59:20","8:43"
