"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:20","10:20","1.00","10:20","--","136","158","--","--","--","--","--","--","124","--","--","0.78","--","--","130","28.0","7:14","154","10:20","10:20"
"2","7:23.4","17:43","1.00","7:23","--","143","157","--","--","--","--","--","--","150","--","--","0.90","--","--","101","28.0","7:04","154","7:23","7:23"
"3","7:16.8","25:00","1.00","7:17","--","139","141","--","--","--","--","--","--","150","--","--","0.92","--","--","95","29.0","7:02","152","7:16.8","7:17"
"4","7:14.3","32:14","1.00","7:14","--","139","143","--","--","--","--","--","--","151","--","--","0.91","--","--","92","29.0","7:02","154","7:14","7:14"
"5","7:46.4","40:01","0.72","10:50","--","125","142","--","--","--","--","--","--","114","--","--","0.81","--","--","59","29.0","7:02","154","7:18","10:10"
"Summary","40:01","40:01","4.72","8:29","","136","158","","","","","","","136","","","0.86","","","477","28.6","7:02","154","39:32","8:23"
