"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:20","14:20","1.00","14:20","--","112","125","--","--","--","--","--","--","110","--","--","0.64","--","--","136","27.0","12:14","120","13:58","13:58"
"2","12:46","27:06","1.00","12:46","--","123","129","--","--","--","--","--","--","115","--","--","0.68","--","--","137","27.0","11:54","120","12:46","12:46"
"3","12:37","39:43","1.00","12:37","--","124","128","--","--","--","--","--","--","116","--","--","0.68","--","--","130","26.0","11:54","119","12:37","12:37"
"4","12:55","52:39","1.00","12:55","--","123","128","--","--","--","--","--","--","115","--","--","0.67","--","--","118","26.0","11:54","120","12:55","12:55"
"5","12:31","1:05:10","1.00","12:31","--","123","130","--","--","--","--","--","--","116","--","--","0.69","--","--","107","26.0","11:50","118","12:31","12:31"
"6","5:14.2","1:10:24","0.35","14:52","--","113","125","--","--","--","--","--","--","103","--","--","0.65","--","--","27","27.0","12:09","116","4:56","14:00"
"Summary","1:10:24","1:10:24","5.35","13:09","","120","130","","","","","","","113","","","0.67","","","655","26.5","11:50","120","1:09:43","13:02"
