"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:44","14:44","1.00","14:43","--","96","104","--","--","--","--","--","--","113","--","--","0.60","--","--","93","28.0","11:06","126","13:51","13:51"
"2","15:06","29:50","1.00","15:07","--","75","92","--","--","--","--","--","--","112","--","--","0.59","--","--","47","26.0","10:54","124","14:24","14:24"
"3","12:54","42:44","1.00","12:55","--","73","87","--","--","--","--","--","--","119","--","--","0.65","--","--","37","26.0","10:54","124","12:28","12:28"
"4","13:37","56:22","1.00","13:38","--","68","82","--","--","--","--","--","--","116","--","--","0.64","--","--","31","26.0","10:49","124","13:00","13:00"
"5","12:38","1:09:00","1.00","12:38","--","70","102","--","--","--","--","--","--","120","--","--","0.66","--","--","35","26.0","10:54","124","12:01","12:01"
"6","5:13.0","1:14:13","0.32","16:04","--","57","69","--","--","--","--","--","--","101","--","--","0.62","--","--","8","26.0","11:18","120","4:50","14:53"
"Summary","1:14:13","1:14:13","5.32","13:56","","75","104","","","","","","","115","","","0.63","","","251","26.4","10:49","126","1:10:34","13:15"
