"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:54.7","9:54.7","1.00","9:55","--","122","150","--","--","--","--","--","--","124","--","--","0.81","--","--","108","28.0","7:02","154","9:26","9:26"
"2","7:11.9","17:07","1.00","7:12","--","137","141","--","--","--","--","--","--","150","--","--","0.93","--","--","95","28.0","7:02","152","7:11.9","7:12"
"3","7:14.9","24:21","1.00","7:15","--","140","143","--","--","--","--","--","--","150","--","--","0.92","--","--","97","28.0","7:00","154","7:14","7:14"
"4","7:13.1","31:34","1.00","7:13","--","140","142","--","--","--","--","--","--","151","--","--","0.92","--","--","96","29.0","6:55","154","7:13.1","7:13"
"5","8:25.9","40:00","0.87","9:42","--","128","143","--","--","--","--","--","--","123","--","--","0.84","--","--","76","29.0","7:02","155","8:07","9:21"
"Summary","40:00","40:00","4.87","8:13","","133","150","","","","","","","138","","","0.88","","","472","28.4","6:55","155","39:12","8:03"
