"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:18","10:18","1.00","10:18","--","121","149","--","--","--","--","--","--","125","--","--","0.78","--","--","107","28.0","6:51","154","9:58","9:58"
"2","7:16.2","17:34","1.00","7:16","--","142","148","--","--","--","--","--","--","151","--","--","0.91","--","--","100","27.0","6:54","154","7:16","7:16"
"3","7:28.1","25:02","1.00","7:28","--","142","147","--","--","--","--","--","--","152","--","--","0.88","--","--","102","28.0","7:00","155","7:28","7:28"
"4","10:02","35:05","0.99","10:09","--","131","147","--","--","--","--","--","--","128","--","--","0.77","--","--","101","28.0","7:07","155","10:02","10:09"
"Summary","35:05","35:05","3.99","8:47","","132","149","","","","","","","137","","","0.82","","","410","27.8","6:51","155","34:44","8:42"
