"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:06","10:06","1.00","10:06","--","111","146","--","--","--","--","--","--","125","--","--","0.79","--","--","93","28.0","7:09","154","9:30","9:30"
"2","7:19.9","17:26","1.00","7:20","--","138","147","--","--","--","--","--","--","151","--","--","0.90","--","--","99","27.0","7:02","154","7:19.9","7:20"
"3","7:36.7","25:03","1.00","7:37","--","140","142","--","--","--","--","--","--","150","--","--","0.87","--","--","103","28.0","7:10","154","7:36","7:36"
"4","7:21.2","32:24","1.00","7:21","--","141","145","--","--","--","--","--","--","151","--","--","0.90","--","--","100","29.0","7:04","155","7:21","7:21"
"5","7:42.3","40:06","0.79","9:45","--","128","145","--","--","--","--","--","--","124","--","--","0.83","--","--","70","29.0","7:07","155","7:42.3","9:45"
"Summary","40:06","40:06","4.79","8:22","","130","147","","","","","","","139","","","0.85","","","465","28.2","7:02","155","39:29","8:15"
