"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:02","10:02","1.00","10:02","--","114","136","--","--","--","--","--","--","124","--","--","0.80","--","--","96","26.0","6:28","155","9:38","9:38"
"2","9:26.0","19:28","1.00","9:26","--","121","136","--","--","--","--","--","--","132","--","--","0.81","--","--","97","26.0","6:20","157","9:26.0","9:26"
"3","9:08.8","28:37","1.00","9:09","--","123","136","--","--","--","--","--","--","132","--","--","0.83","--","--","91","26.0","5:58","157","9:08","9:08"
"4","9:27.5","38:05","1.00","9:28","--","126","138","--","--","--","--","--","--","130","--","--","0.81","--","--","95","26.0","5:48","158","9:06","9:06"
"5","9:04.5","47:09","1.00","9:04","--","126","137","--","--","--","--","--","--","133","--","--","0.83","--","--","85","26.0","6:20","159","9:04","9:04"
"6","9:08.5","56:18","1.00","9:09","--","127","137","--","--","--","--","--","--","130","--","--","0.84","--","--","84","26.0","5:50","159","9:08.5","9:08"
"7","8:48.9","1:05:07","0.86","10:16","--","126","140","--","--","--","--","--","--","124","--","--","0.79","--","--","76","26.0","6:35","155","8:17","9:39"
"Summary","1:05:07","1:05:07","6.86","9:29","","123","140","","","","","","","129","","","0.82","","","624","26.0","5:48","159","1:03:47","9:18"
