"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:39.4","9:39.4","1.00","9:39","--","111","136","--","--","--","--","--","--","124","--","--","0.84","--","--","88","28.0","5:45","159","9:25","9:25"
"2","9:06.9","18:46","1.00","9:07","--","120","141","--","--","--","--","--","--","130","--","--","0.84","--","--","93","27.0","5:51","160","9:06.9","9:07"
"3","9:30.5","28:17","1.00","9:30","--","124","149","--","--","--","--","--","--","128","--","--","0.82","--","--","96","27.0","5:47","162","9:15","9:15"
"4","9:28.1","37:45","1.00","9:28","--","124","142","--","--","--","--","--","--","130","--","--","0.81","--","--","90","27.0","6:02","159","9:28","9:28"
"5","9:18.6","47:03","1.00","9:19","--","128","145","--","--","--","--","--","--","130","--","--","0.82","--","--","92","28.0","6:10","159","9:18","9:18"
"6","9:27.3","56:31","1.00","9:27","--","130","145","--","--","--","--","--","--","130","--","--","0.82","--","--","95","28.0","6:19","157","9:27.3","9:27"
"7","8:35.7","1:05:07","0.88","9:44","--","132","150","--","--","--","--","--","--","125","--","--","0.82","--","--","87","29.0","5:54","157","8:35.7","9:44"
"Summary","1:05:07","1:05:07","6.88","9:28","","124","150","","","","","","","128","","","0.83","","","641","27.7","5:45","162","1:04:36","9:23"
