"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:58","12:58","1.00","12:58","--","111","141","--","--","--","--","--","--","111","--","--","0.69","--","--","120","26.0","6:21","154","11:55","11:55"
"2","12:05","25:03","1.00","12:05","--","122","147","--","--","--","--","--","--","114","--","--","0.72","--","--","119","26.0","6:08","155","11:53","11:53"
"3","9:42.1","34:45","1.00","9:42","--","122","151","--","--","--","--","--","--","129","--","--","0.80","--","--","92","25.0","5:56","157","9:37","9:37"
"4","13:55","48:40","1.00","13:55","--","125","153","--","--","--","--","--","--","108","--","--","0.66","--","--","133","25.0","6:17","154","13:45","13:45"
"5","8:38.1","57:18","1.00","8:38","--","138","152","--","--","--","--","--","--","134","--","--","0.87","--","--","109","25.0","6:20","157","8:38","8:38"
"6","3:13.9","1:00:32","0.20","16:14","--","122","128","--","--","--","--","--","--","103","--","--","0.60","--","--","23","26.0","14:53","107","3:03","15:19"
"Summary","1:00:32","1:00:32","5.20","11:39","","123","153","","","","","","","117","","","0.73","","","596","25.5","5:56","157","58:51","11:19"
