"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:13","12:13","1.00","12:13","--","110","130","--","--","--","--","--","--","114","--","--","0.72","--","--","110","29.0","6:52","154","11:53","11:53"
"2","11:17","23:30","1.00","11:17","--","118","138","--","--","--","--","--","--","119","--","--","0.75","--","--","106","27.0","6:40","155","11:02","11:02"
"3","8:43.0","32:13","1.00","8:43","--","130","142","--","--","--","--","--","--","134","--","--","0.86","--","--","100","27.0","5:44","155","8:43.0","8:43"
"4","10:42","42:56","1.00","10:42","--","121","138","--","--","--","--","--","--","123","--","--","0.76","--","--","92","27.0","6:15","155","10:42","10:42"
"5","11:12","54:08","1.00","11:12","--","125","143","--","--","--","--","--","--","119","--","--","0.75","--","--","100","27.0","6:03","157","11:06","11:06"
"6","8:51.0","1:02:59","1.00","8:51","--","131","143","--","--","--","--","--","--","136","--","--","0.83","--","--","93","27.0","6:28","159","8:40","8:40"
"7","2:05.1","1:05:04","0.14","14:27","--","117","121","--","--","--","--","--","--","107","--","--","0.65","--","--","11","27.0","13:20","110","2:05","14:27"
"Summary","1:05:04","1:05:04","6.14","10:35","","122","143","","","","","","","122","","","0.77","","","612","27.4","5:44","159","1:04:11","10:27"
