"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:20","10:20","1.00","10:20","--","108","134","--","--","--","--","--","--","117","--","--","0.83","--","--","88","28.0","7:00","155","9:19","9:19"
"2","7:21.2","17:41","1.00","7:21","--","138","148","--","--","--","--","--","--","151","--","--","0.90","--","--","99","28.0","6:59","154","7:21.2","7:21"
"3","7:06.8","24:48","1.00","7:07","--","143","146","--","--","--","--","--","--","152","--","--","0.93","--","--","98","28.0","7:00","154","7:06","7:06"
"4","7:06.8","31:55","1.00","7:07","--","146","152","--","--","--","--","--","--","152","--","--","0.93","--","--","101","29.0","6:54","155","7:06.8","7:07"
"5","8:50.9","40:46","0.91","9:42","--","136","155","--","--","--","--","--","--","125","--","--","0.82","--","--","96","29.0","6:54","155","8:50.9","9:42"
"Summary","40:46","40:46","4.91","8:18","","132","155","","","","","","","137","","","0.87","","","482","28.4","6:54","155","39:44","8:05"
