"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:31","12:31","1.00","12:31","--","101","139","--","--","--","--","--","--","114","--","--","0.70","--","--","94","27.0","6:44","152","12:09","12:09"
"2","12:56","25:27","1.00","12:56","--","121","145","--","--","--","--","--","--","111","--","--","0.69","--","--","130","27.0","6:38","154","12:23","12:23"
"3","9:15.4","34:42","1.00","9:16","--","125","150","--","--","--","--","--","--","132","--","--","0.82","--","--","97","26.0","6:41","154","9:13","9:13"
"4","14:28","49:10","1.00","14:28","--","122","148","--","--","--","--","--","--","108","--","--","0.64","--","--","129","26.0","6:49","152","14:12","14:12"
"5","9:12.4","58:23","1.00","9:12","--","136","151","--","--","--","--","--","--","133","--","--","0.82","--","--","110","26.0","6:30","155","9:12","9:12"
"6","1:42.7","1:00:05","0.12","14:27","--","119","121","--","--","--","--","--","--","107","--","--","0.65","--","--","11","27.0","13:51","108","1:42.7","14:26"
"Summary","1:00:05","1:00:05","5.12","11:44","","120","151","","","","","","","117","","","0.72","","","571","26.5","6:30","155","58:52","11:30"
