"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:59.2","9:59.2","1.00","9:59","--","112","137","--","--","--","--","--","--","124","--","--","0.81","--","--","93","27.0","6:11","154","9:30","9:30"
"2","9:40.0","19:39","1.00","9:40","--","120","137","--","--","--","--","--","--","128","--","--","0.81","--","--","96","26.0","6:23","155","9:40.0","9:40"
"3","9:41.4","29:21","1.00","9:41","--","122","138","--","--","--","--","--","--","129","--","--","0.80","--","--","95","27.0","6:19","155","9:41.4","9:41"
"4","9:39.1","39:00","1.00","9:39","--","123","138","--","--","--","--","--","--","128","--","--","0.81","--","--","91","27.0","6:41","155","9:39","9:39"
"5","9:39.9","48:40","1.00","9:40","--","126","139","--","--","--","--","--","--","128","--","--","0.81","--","--","92","27.0","6:35","155","9:31","9:31"
"6","9:45.5","58:25","1.00","9:45","--","126","140","--","--","--","--","--","--","128","--","--","0.80","--","--","90","27.0","6:30","155","9:40","9:40"
"7","6:41.1","1:05:06","0.57","11:38","--","125","147","--","--","--","--","--","--","117","--","--","0.73","--","--","56","27.0","6:38","154","6:31","11:20"
"Summary","1:05:06","1:05:06","6.57","9:54","","122","147","","","","","","","126","","","0.80","","","613","26.9","6:11","155","1:04:12","9:46"
