"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:46.6","9:46.6","1.00","9:47","--","123","143","--","--","--","--","--","--","126","--","--","0.81","--","--","111","29.0","6:59","157","9:31","9:31"
"2","7:06.0","16:53","1.00","7:06","--","146","153","--","--","--","--","--","--","151","--","--","0.93","--","--","102","28.0","7:00","155","7:06","7:06"
"3","7:06.6","23:59","1.00","7:07","--","152","161","--","--","--","--","--","--","152","--","--","0.93","--","--","105","29.0","6:59","155","7:06","7:06"
"4","7:14.5","31:14","1.00","7:15","--","153","157","--","--","--","--","--","--","152","--","--","0.91","--","--","108","29.0","7:00","155","7:14.5","7:15"
"5","8:50.8","40:05","0.93","9:30","--","144","158","--","--","--","--","--","--","127","--","--","0.83","--","--","111","30.0","7:00","154","8:50.8","9:30"
"Summary","40:05","40:05","4.93","8:08","","142","161","","","","","","","140","","","0.88","","","537","29.0","6:59","157","39:48","8:04"
