"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:09","10:09","1.00","10:09","--","127","154","--","--","--","--","--","--","125","--","--","0.79","--","--","118","29.0","6:52","155","9:42","9:42"
"2","7:13.5","17:22","1.00","7:13","--","142","145","--","--","--","--","--","--","153","--","--","0.91","--","--","100","29.0","6:55","155","7:13","7:13"
"3","10:01","27:24","1.00","10:01","--","132","147","--","--","--","--","--","--","129","--","--","0.77","--","--","110","29.0","6:54","157","9:44","9:44"
"4","7:14.9","34:38","1.00","7:15","--","147","155","--","--","--","--","--","--","152","--","--","0.91","--","--","103","29.0","6:46","155","7:14.9","7:15"
"5","9:01.9","43:40","1.00","9:02","--","144","153","--","--","--","--","--","--","130","--","--","0.85","--","--","116","29.0","6:43","155","8:43","8:43"
"6","8:26.9","52:07","1.00","8:27","--","146","158","--","--","--","--","--","--","143","--","--","0.83","--","--","110","29.0","6:57","155","8:25","8:25"
"7","8:00.3","1:00:08","0.73","10:56","--","145","159","--","--","--","--","--","--","123","--","--","0.74","--","--","96","29.0","6:51","155","7:34","10:20"
"Summary","1:00:08","1:00:08","6.73","8:56","","140","159","","","","","","","135","","","0.82","","","753","29.0","6:43","157","58:36","8:42"
