"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:41.4","9:41.4","1.00","9:41","--","109","136","--","--","--","--","--","--","124","--","--","0.84","--","--","87","29.0","6:05","154","9:26","9:26"
"2","9:26.7","19:08","1.00","9:27","--","122","139","--","--","--","--","--","--","129","--","--","0.82","--","--","98","27.0","6:15","155","9:26.7","9:27"
"3","9:48.1","28:56","1.00","9:48","--","125","141","--","--","--","--","--","--","126","--","--","0.81","--","--","102","27.0","6:12","155","9:37","9:37"
"4","9:31.4","38:28","1.00","9:31","--","125","142","--","--","--","--","--","--","129","--","--","0.82","--","--","92","27.0","6:00","157","9:31.4","9:31"
"5","9:32.6","48:00","1.00","9:33","--","129","146","--","--","--","--","--","--","127","--","--","0.83","--","--","95","27.0","5:58","155","9:00","9:00"
"6","9:27.6","57:28","1.00","9:28","--","129","144","--","--","--","--","--","--","128","--","--","0.82","--","--","90","27.0","6:08","155","9:27.6","9:28"
"7","7:44.0","1:05:12","0.74","10:27","--","130","146","--","--","--","--","--","--","123","--","--","0.78","--","--","72","28.0","6:34","155","7:44.0","10:27"
"Summary","1:05:12","1:05:12","6.74","9:40","","124","146","","","","","","","126","","","0.82","","","636","27.4","5:58","157","1:04:13","9:32"
