"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:52.4","9:52.4","1.00","9:52","--","119","140","--","--","--","--","--","--","124","--","--","0.82","--","--","105","29.0","6:57","155","9:46","9:46"
"2","7:02.9","16:55","1.00","7:03","--","139","145","--","--","--","--","--","--","152","--","--","0.93","--","--","95","28.0","6:52","155","7:02","7:02"
"3","7:05.0","24:00","1.00","7:05","--","141","145","--","--","--","--","--","--","152","--","--","0.93","--","--","97","28.0","6:55","155","7:05.0","7:05"
"4","7:02.1","31:02","1.00","7:02","--","143","147","--","--","--","--","--","--","152","--","--","0.93","--","--","97","29.0","6:54","156","7:02.1","7:02"
"5","9:01.7","40:04","0.89","10:11","--","131","146","--","--","--","--","--","--","120","--","--","0.82","--","--","88","29.0","6:57","156","8:14","9:17"
"Summary","40:04","40:04","4.89","8:12","","133","147","","","","","","","138","","","0.88","","","482","28.6","6:52","156","39:09","8:01"
