"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:07","14:07","1.00","14:07","--","116","131","--","--","--","--","--","--","110","--","--","0.64","--","--","143","27.0","11:27","139","13:24","13:24"
"2","11:57","26:04","1.00","11:57","--","128","134","--","--","--","--","--","--","117","--","--","0.72","--","--","143","27.0","11:32","119","11:57","11:57"
"3","12:12","38:17","1.00","12:13","--","131","135","--","--","--","--","--","--","116","--","--","0.70","--","--","145","28.0","11:23","120","12:02","12:02"
"4","12:08","50:25","1.00","12:08","--","131","136","--","--","--","--","--","--","116","--","--","0.71","--","--","136","28.0","11:32","119","12:08","12:08"
"5","11:59","1:02:23","1.00","11:59","--","132","136","--","--","--","--","--","--","116","--","--","0.72","--","--","130","28.0","11:27","120","11:59","11:59"
"6","5:01.1","1:07:24","0.32","15:49","--","126","132","--","--","--","--","--","--","102","--","--","0.62","--","--","39","28.0","12:09","116","4:23","13:49"
"Summary","1:07:24","1:07:24","5.32","12:40","","127","136","","","","","","","114","","","0.69","","","736","27.6","11:23","139","1:05:53","12:23"
