"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:42.9","9:42.9","1.00","9:43","--","120","140","--","--","--","--","--","--","125","--","--","0.83","--","--","104","26.0","6:13","156","9:42.9","9:43"
"2","9:15.4","18:58","1.00","9:15","--","131","146","--","--","--","--","--","--","131","--","--","0.83","--","--","110","26.0","6:03","159","9:06","9:06"
"3","9:07.1","28:05","1.00","9:07","--","132","148","--","--","--","--","--","--","132","--","--","0.83","--","--","105","26.0","5:52","159","8:57","8:57"
"4","8:49.2","36:55","1.00","8:49","--","134","147","--","--","--","--","--","--","135","--","--","0.84","--","--","102","27.0","6:01","159","8:49","8:49"
"5","9:13.3","46:08","1.00","9:13","--","136","146","--","--","--","--","--","--","131","--","--","0.82","--","--","106","27.0","5:56","159","8:58","8:58"
"6","8:51.2","54:59","1.00","8:51","--","138","149","--","--","--","--","--","--","133","--","--","0.85","--","--","103","27.0","5:52","159","8:51","8:51"
"7","9:06.7","1:04:06","1.00","9:07","--","136","150","--","--","--","--","--","--","131","--","--","0.84","--","--","93","27.0","6:26","156","8:48","8:48"
"8","0:59.0","1:05:05","0.07","14:21","--","120","122","--","--","--","--","--","--","107","--","--","0.65","--","--","3","27.0","13:20","111","0:59.0","14:22"
"Summary","1:05:05","1:05:05","7.07","9:12","","132","150","","","","","","","131","","","0.83","","","726","26.6","5:52","159","1:04:11","9:05"
