"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:05","12:05","1.00","12:05","--","104","131","--","--","--","--","--","--","115","--","--","0.72","--","--","95","27.0","6:38","154","12:04","12:04"
"2","11:27","23:33","1.00","11:27","--","117","138","--","--","--","--","--","--","120","--","--","0.73","--","--","106","27.0","6:47","153","11:21","11:21"
"3","9:50.6","33:23","1.00","9:51","--","124","140","--","--","--","--","--","--","127","--","--","0.80","--","--","101","27.0","6:31","155","9:32","9:32"
"4","10:23","43:47","1.00","10:23","--","123","143","--","--","--","--","--","--","126","--","--","0.76","--","--","99","27.0","6:35","157","10:23","10:23"
"5","12:34","56:21","1.00","12:34","--","127","144","--","--","--","--","--","--","116","--","--","0.68","--","--","123","28.0","6:35","157","11:50","11:50"
"6","8:40.6","1:05:01","0.88","9:52","--","132","146","--","--","--","--","--","--","128","--","--","0.79","--","--","91","29.0","6:33","157","8:40.6","9:52"
"Summary","1:05:01","1:05:01","5.88","11:04","","121","146","","","","","","","121","","","0.74","","","615","27.5","6:31","157","1:03:51","10:51"
