"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:54.7","9:54.7","1.00","9:55","--","121","153","--","--","--","--","--","--","127","--","--","0.80","--","--","107","28.0","6:44","155","9:34","9:34"
"2","9:48.9","19:44","1.00","9:49","--","124","146","--","--","--","--","--","--","130","--","--","0.78","--","--","105","27.0","6:35","157","9:48.9","9:49"
"3","9:50.6","29:34","1.00","9:51","--","126","144","--","--","--","--","--","--","130","--","--","0.78","--","--","101","27.0","6:34","157","9:37","9:37"
"4","9:41.4","39:16","1.00","9:41","--","128","145","--","--","--","--","--","--","130","--","--","0.79","--","--","99","27.0","6:34","158","9:41.4","9:41"
"5","9:29.3","48:45","1.00","9:29","--","130","146","--","--","--","--","--","--","131","--","--","0.80","--","--","97","28.0","6:24","159","9:29","9:29"
"6","9:38.4","58:23","1.00","9:38","--","130","147","--","--","--","--","--","--","130","--","--","0.80","--","--","95","28.0","6:31","159","9:38.4","9:38"
"7","6:38.3","1:05:02","0.60","11:05","--","127","144","--","--","--","--","--","--","121","--","--","0.75","--","--","55","28.0","6:28","159","6:38","11:04"
"Summary","1:05:02","1:05:02","6.60","9:51","","126","153","","","","","","","129","","","0.79","","","659","27.5","6:24","159","1:04:27","9:46"
