"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:09","10:09","1.00","10:09","--","125","150","3","4","--","--","--","--","119","--","--","0.83","--","--","101","29.0","6:21","195","9:58","9:58"
"2","7:28.0","17:37","1.00","7:28","--","152","157","5","8","--","--","--","--","158","--","--","0.85","--","--","100","28.0","6:57","162","7:28","7:28"
"3","8:55.6","26:32","1.00","8:56","--","137","161","7","7","--","--","--","--","132","--","--","0.85","--","--","101","27.0","6:02","169","8:55.6","8:56"
"4","9:09.9","35:42","0.91","10:04","--","135","152","10","9","--","--","--","--","121","--","--","0.82","--","--","97","27.0","6:35","166","9:09","10:02"
"Summary","35:42","35:42","3.91","9:08","","136","161","24","28","","","","","131","","","0.84","","","399","27.8","6:02","195","35:31","9:05"
