"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:15","14:15","1.00","14:15","--","107","117","--","--","--","--","--","--","112","--","--","0.63","--","--","123","29.0","12:35","119","13:59","13:59"
"2","12:58","27:13","1.00","12:58","--","101","111","--","--","--","--","--","--","118","--","--","0.66","--","--","80","27.0","11:59","122","12:58","12:58"
"3","12:48","40:01","1.00","12:49","--","97","106","--","--","--","--","--","--","118","--","--","0.66","--","--","65","26.0","12:04","120","12:48","12:48"
"4","13:16","53:18","1.00","13:16","--","80","103","--","--","--","--","--","--","115","--","--","0.65","--","--","44","26.0","11:59","119","12:56","12:56"
"5","12:53","1:06:11","1.00","12:53","--","59","63","--","--","--","--","--","--","117","--","--","0.67","--","--","22","27.0","11:59","119","12:53","12:53"
"6","5:12.4","1:11:23","0.36","14:38","--","55","63","--","--","--","--","--","--","106","--","--","0.65","--","--","8","27.0","12:24","118","5:11","14:34"
"Summary","1:11:23","1:11:23","5.36","13:20","","87","117","","","","","","","115","","","0.65","","","342","27.0","11:59","122","1:10:45","13:13"
