"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:51.6","9:51.6","1.00","9:52","--","112","132","--","--","--","--","--","--","127","--","--","0.80","--","--","90","30.0","6:55","156","9:19","9:19"
"2","7:15.8","17:07","1.00","7:16","--","134","140","--","--","--","--","--","--","153","--","--","0.90","--","--","93","29.0","6:55","155","7:15.8","7:16"
"3","7:06.6","24:14","1.00","7:07","--","138","142","--","--","--","--","--","--","152","--","--","0.92","--","--","94","29.0","6:52","157","7:06","7:06"
"4","7:00.1","31:14","1.00","7:00","--","137","142","--","--","--","--","--","--","154","--","--","0.93","--","--","89","30.0","6:51","155","7:00","7:00"
"5","8:48.0","40:02","0.86","10:12","--","123","144","--","--","--","--","--","--","122","--","--","0.80","--","--","71","30.0","6:54","156","8:13","9:32"
"Summary","40:02","40:02","4.86","8:14","","128","144","","","","","","","140","","","0.86","","","437","29.6","6:51","157","38:54","8:00"
