"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:19","14:19","1.00","14:19","--","99","131","--","--","--","--","--","--","110","--","--","0.64","--","--","103","28.0","11:54","119","13:43","13:43"
"2","12:28","26:47","1.00","12:27","--","130","135","--","--","--","--","--","--","116","--","--","0.69","--","--","159","27.0","9:12","127","12:27","12:27"
"3","12:53","39:39","1.00","12:53","--","132","136","--","--","--","--","--","--","115","--","--","0.68","--","--","159","27.0","11:36","120","12:39","12:39"
"4","12:20","51:59","1.00","12:20","--","133","136","--","--","--","--","--","--","116","--","--","0.70","--","--","146","27.0","11:27","122","12:20","12:20"
"5","12:18","1:04:17","1.00","12:18","--","121","136","--","--","--","--","--","--","116","--","--","0.70","--","--","105","27.0","11:23","120","12:13","12:13"
"6","5:16.3","1:09:34","0.37","14:21","--","128","134","--","--","--","--","--","--","106","--","--","0.66","--","--","48","28.0","11:54","117","4:58","13:31"
"Summary","1:09:34","1:09:34","5.37","12:58","","123","136","","","","","","","114","","","0.68","","","720","27.3","9:12","127","1:08:20","12:44"
