"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:23","12:23","1.00","12:22","--","106","130","--","--","--","--","--","--","118","--","--","0.69","--","--","105","28.0","6:41","155","12:08","12:08"
"2","12:05","24:28","1.00","12:05","--","114","137","--","--","--","--","--","--","117","--","--","0.71","--","--","107","27.0","6:40","155","12:05","12:05"
"3","9:38.7","34:07","1.00","9:39","--","117","140","--","--","--","--","--","--","131","--","--","0.79","--","--","89","26.0","6:27","156","9:38.7","9:39"
"4","13:57","48:04","1.00","13:58","--","115","137","--","--","--","--","--","--","109","--","--","0.66","--","--","106","25.0","6:40","155","13:57","13:57"
"5","8:32.0","56:36","1.00","8:32","--","125","139","--","--","--","--","--","--","136","--","--","0.86","--","--","87","25.0","6:23","156","8:32","8:32"
"6","3:18.6","59:54","0.21","15:57","--","117","122","--","--","--","--","--","--","103","--","--","0.61","--","--","23","25.0","14:39","106","3:18.6","15:57"
"Summary","59:54","59:54","5.21","11:30","","115","140","","","","","","","119","","","0.72","","","517","26.2","6:23","156","59:39","11:27"
