"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:13","10:13","1.00","10:13","--","113","144","--","--","--","--","--","--","124","--","--","0.79","--","--","96","29.0","6:51","155","9:44","9:44"
"2","7:00.3","17:13","1.00","7:00","--","143","150","--","--","--","--","--","--","152","--","--","0.94","--","--","98","27.0","6:46","155","7:00.3","7:00"
"3","10:15","27:28","1.00","10:15","--","133","152","--","--","--","--","--","--","127","--","--","0.77","--","--","115","28.0","6:43","155","9:48","9:48"
"4","7:12.4","34:41","1.00","7:12","--","146","153","--","--","--","--","--","--","152","--","--","0.91","--","--","101","28.0","6:52","155","7:12","7:12"
"5","9:22.6","44:03","1.00","9:23","--","142","153","--","--","--","--","--","--","132","--","--","0.81","--","--","115","28.0","6:46","155","9:08","9:08"
"6","8:00.0","52:03","1.00","8:00","--","146","157","--","--","--","--","--","--","146","--","--","0.86","--","--","105","29.0","6:55","157","8:00.0","8:00"
"7","8:06.9","1:00:10","0.75","10:53","--","143","158","--","--","--","--","--","--","122","--","--","0.75","--","--","92","29.0","6:47","158","7:46","10:25"
"Summary","1:00:10","1:00:10","6.75","8:55","","137","158","","","","","","","135","","","0.83","","","722","28.3","6:43","158","58:38","8:42"
