"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:35","10:35","1.00","10:35","--","117","138","--","--","--","--","--","--","125","--","--","0.76","--","--","108","29.0","7:10","155","9:48","9:48"
"2","7:27.5","18:02","1.00","7:27","--","139","143","--","--","--","--","--","--","152","--","--","0.88","--","--","101","30.0","7:05","155","7:27","7:27"
"3","7:23.8","25:26","1.00","7:24","--","140","142","--","--","--","--","--","--","152","--","--","0.89","--","--","99","30.0","7:05","155","7:23.8","7:24"
"4","7:28.1","32:54","1.00","7:28","--","139","141","--","--","--","--","--","--","152","--","--","0.88","--","--","96","31.0","7:05","155","7:28","7:28"
"5","7:10.7","40:05","0.62","11:35","--","124","141","--","--","--","--","--","--","116","--","--","0.74","--","--","56","31.0","7:05","155","6:42","10:49"
"Summary","40:05","40:05","4.62","8:41","","131","143","","","","","","","139","","","0.82","","","460","30.1","7:05","155","38:49","8:24"
