"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:20","10:20","1.00","10:20","--","114","137","--","--","--","--","--","--","122","--","--","0.79","--","--","97","28.0","7:02","156","9:29","9:29"
"2","7:10.5","17:31","1.00","7:10","--","139","148","--","--","--","--","--","--","151","--","--","0.92","--","--","97","29.0","6:59","154","7:10.5","7:11"
"3","7:09.3","24:40","1.00","7:09","--","141","146","--","--","--","--","--","--","151","--","--","0.93","--","--","97","29.0","7:00","154","7:09","7:09"
"4","7:10.0","31:50","1.00","7:10","--","139","144","--","--","--","--","--","--","151","--","--","0.92","--","--","93","30.0","6:59","154","7:10.0","7:10"
"5","8:10.5","40:00","0.80","10:15","--","127","142","--","--","--","--","--","--","116","--","--","0.84","--","--","72","30.0","7:00","154","7:42","9:40"
"Summary","40:00","40:00","4.80","8:21","","130","148","","","","","","","137","","","0.87","","","456","29.1","6:59","156","38:40","8:04"
