"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","10:18","10:18","1.00","10:18","--","130","158","--","--","--","--","--","--","125","--","--","0.78","--","--","123","29.0","6:52","154","9:58","9:58"
"2","7:10.0","17:28","1.00","7:10","--","152","158","--","--","--","--","--","--","150","--","--","0.93","--","--","105","28.0","6:40","154","7:10.0","7:10"
"3","10:05","27:33","1.00","10:05","--","127","144","--","--","--","--","--","--","127","--","--","0.78","--","--","97","28.0","6:55","154","9:57","9:57"
"4","7:16.8","34:50","1.00","7:17","--","142","156","--","--","--","--","--","--","150","--","--","0.91","--","--","98","28.0","6:54","154","7:16.8","7:17"
"5","5:13.1","40:03","0.38","13:53","--","123","149","--","--","--","--","--","--","108","--","--","0.66","--","--","36","28.0","7:04","154","5:13","13:53"
"Summary","40:03","40:03","4.38","9:09","","135","158","","","","","","","132","","","0.82","","","459","28.3","6:40","154","39:35","9:03"
