"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","9:59.5","9:59.5","1.00","10:00","--","118","148","--","--","--","--","--","--","124","--","--","0.81","--","--","102","28.0","7:02","155","9:26","9:26"
"2","7:09.1","17:09","1.00","7:09","--","138","143","--","--","--","--","--","--","152","--","--","0.92","--","--","96","28.0","6:57","155","7:09","7:09"
"3","7:09.0","24:18","1.00","7:09","--","141","143","--","--","--","--","--","--","151","--","--","0.92","--","--","97","29.0","6:59","155","7:09","7:09"
"4","7:11.4","31:29","1.00","7:11","--","141","144","--","--","--","--","--","--","152","--","--","0.92","--","--","97","29.0","6:59","155","7:11","7:11"
"5","8:36.1","40:05","0.89","9:37","--","128","144","--","--","--","--","--","--","125","--","--","0.83","--","--","78","30.0","7:02","154","8:36","9:37"
"Summary","40:05","40:05","4.89","8:11","","132","148","","","","","","","139","","","0.87","","","470","28.8","6:57","155","39:31","8:04"
