"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:11","12:11","1.00","12:10","--","106","136","--","--","--","--","--","--","114","--","--","0.72","--","--","101","26.0","6:17","155","11:39","11:39"
"2","11:13","23:24","1.00","11:13","--","120","144","--","--","--","--","--","--","119","--","--","0.75","--","--","109","25.0","6:10","158","10:32","10:32"
"3","9:38.2","33:02","1.00","9:38","--","126","143","--","--","--","--","--","--","132","--","--","0.79","--","--","102","25.0","6:55","156","9:26","9:26"
"4","10:34","43:37","1.00","10:35","--","124","142","--","--","--","--","--","--","126","--","--","0.75","--","--","100","25.0","7:00","155","10:34","10:34"
"5","12:35","56:12","1.00","12:35","--","123","144","--","--","--","--","--","--","115","--","--","0.69","--","--","104","25.0","6:41","158","11:49","11:49"
"6","8:49.6","1:05:02","0.79","11:12","--","131","145","--","--","--","--","--","--","122","--","--","0.73","--","--","90","25.0","6:59","188","8:18","10:32"
"Summary","1:05:02","1:05:02","5.79","11:14","","121","145","","","","","","","121","","","0.74","","","606","25.2","6:10","188","1:02:18","10:46"
