"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","12:53","12:53","1.00","12:53","--","103","135","--","--","--","--","--","--","111","--","--","0.70","--","--","100","29.0","6:43","154","11:48","11:48"
"2","11:44","24:37","1.00","11:44","--","123","144","--","--","--","--","--","--","116","--","--","0.73","--","--","124","28.0","6:30","152","11:32","11:32"
"3","10:15","34:52","1.00","10:15","--","127","146","--","--","--","--","--","--","126","--","--","0.77","--","--","114","28.0","6:40","156","10:00","10:00"
"4","13:44","48:36","1.00","13:44","--","125","149","--","--","--","--","--","--","111","--","--","0.66","--","--","132","28.0","6:49","152","13:44","13:44"
"5","8:47.5","57:23","1.00","8:47","--","139","154","--","--","--","--","--","--","135","--","--","0.85","--","--","113","28.0","6:41","156","8:47.5","8:47"
"6","3:14.4","1:00:38","0.22","14:59","--","125","129","--","--","--","--","--","--","106","--","--","0.63","--","--","27","28.0","13:58","108","3:14","14:57"
"Summary","1:00:38","1:00:38","5.22","11:37","","122","154","","","","","","","118","","","0.73","","","610","28.2","6:30","156","59:05","11:20"
