"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","14:02","14:02","1.00","14:02","--","113","127","--","--","--","--","--","--","110","--","--","0.65","--","--","135","27.0","11:32","118","13:31","13:31"
"2","12:43","26:45","1.00","12:43","--","118","130","--","--","--","--","--","--","116","--","--","0.67","--","--","121","26.0","11:59","119","12:43","12:43"
"3","12:45","39:30","1.00","12:45","--","128","130","--","--","--","--","--","--","116","--","--","0.68","--","--","144","26.0","11:59","119","12:45","12:45"
"4","12:48","52:18","1.00","12:48","--","128","131","--","--","--","--","--","--","115","--","--","0.68","--","--","135","26.0","11:45","120","12:29","12:29"
"5","12:29","1:04:46","1.00","12:29","--","126","131","--","--","--","--","--","--","116","--","--","0.69","--","--","116","27.0","11:40","118","12:28","12:28"
"6","5:13.0","1:09:59","0.32","16:19","--","122","134","--","--","--","--","--","--","102","--","--","0.60","--","--","38","27.0","11:50","117","4:56","15:26"
"Summary","1:09:59","1:09:59","5.32","13:09","","122","134","","","","","","","114","","","0.67","","","689","26.5","11:32","120","1:08:52","12:57"
